source_node,destination_node,indicator_link
848424,784690,1
483294,1255532,1
626190,1729265,1
947219,425228,1
991374,975044,1
1742449,976545,1
1776080,1098942,1
561223,964910,1
1493684,281972,1
1097040,1463368,1
1655782,1511551,1
915549,310481,1
317576,1148171,1
1307483,1371988,1
1173442,1605991,1
985015,1435911,1
1813473,430635,1
200370,353024,1
1097731,230117,1
273970,1376476,1
1197767,174774,1
42982,53988,1
644955,1022218,1
425790,1017721,1
1269533,1040186,1
960366,1339193,1
983697,1256942,1
443321,823220,1
324644,490668,1
1727143,356337,1
1131272,285346,1
872278,551495,1
1193768,1268394,1
595630,1595184,1
415877,1428851,1
609675,789130,1
1850939,1818517,1
750742,175264,1
33324,427272,1
1071183,707414,1
237795,1563086,1
326891,169786,1
1521969,735842,1
271765,1222384,1
1663677,1821319,1
1853787,679244,1
215848,1124788,1
1371337,614275,1
1657479,860969,1
447909,539822,1
1621552,71349,0
249655,1536118,0
1658601,601814,0
366884,1161957,0
1430185,476089,0
624010,1395650,0
1138579,1836831,0
417959,585625,0
914762,76467,0
688236,1635496,0
83427,962968,0
1825284,65381,0
784936,1489091,0
760010,428243,0
1443472,1715799,0
1224016,204530,0
624857,1507470,0
833709,504865,0
1095491,636576,0
386416,1774708,0
1346274,609775,0
742881,1009296,0
627936,552507,0
938734,490693,0
685083,723453,0
513307,587597,0
535606,1023027,0
1486659,623938,0
1713862,1818304,0
1059968,1284804,0
1472884,231547,0
95682,223103,0
884368,1581969,0
91147,412120,0
1735605,516794,0
218630,1241384,0
413850,370702,0
1698023,1654352,0
1761986,1570000,0
252561,709074,0
661618,1558108,0
1663763,102983,0
622255,1170791,0
1381823,1776331,0
1061282,1288438,0
1708269,1747714,0
1775820,378487,0
675687,1153873,0
926795,50696,0
353277,1153537,0
